content,score,at,translated_content,cleaned_content,tokenized_content,stopword_removed_content,stemmed_content,sentiment_score,predicted_rating,sentiment_category,ulasan_bersih
"Semoga ditahun depan Disney+ Hoststar semakin bagus , tidak ada kenaikan tarif seperti 100k /bulan , sangat tidak di sarankan. SEMOGA LEBIH SUKSES LAGI KEDEPANNYA 🔥",5,2022-12-29 20:56:06,"Semoga ditahun depan Disney+ Hoststar semakin bagus , tidak ada kenaikan tarif seperti 100k /bulan , sangat tidak di sarankan. SEMOGA LEBIH SUKSES LAGI KEDEPANNYA 🔥",semoga ditahun depan disney hoststar semakin bagus tidak ada kenaikan tarif seperti k bulan sangat tidak di sarankan semoga lebih sukses lagi kedepannya 🔥,"['semoga', 'ditahun', 'depan', 'disney', 'hoststar', 'semakin', 'bagus', 'tidak', 'ada', 'kenaikan', 'tarif', 'seperti', 'k', 'bulan', 'sangat', 'tidak', 'di', 'sarankan', 'semoga', 'lebih', 'sukses', 'lagi', 'kedepannya', '🔥']","['semoga', 'ditahun', 'disney', 'hoststar', 'bagus', 'kenaikan', 'tarif', 'k', 'sarankan', 'semoga', 'sukses', 'kedepannya', '🔥']","['moga', 'tahun', 'disney', 'hoststar', 'bagus', 'naik', 'tarif', 'k', 'saran', 'moga', 'sukses', 'depan', '']",-1,2,Negatif,moga tahun disney hoststar bagus naik tarif k saran moga sukses depan 
Bagus...,5,2022-12-29 20:28:31,Bagus...,bagus,['bagus'],['bagus'],['bagus'],-4,2,Negatif,bagus
"aplikasi kocak ga bakal langganan di sini lagi, udah bayar langganan tapi ga di aktifkan padahal udah komplain ke email nya juga, gada respon sama sekali, udah beberapa kali ngalamin ini, buat yang lain lebih baik gausah langganan di sini banyak bug juga",1,2022-12-29 20:25:58,"aplikasi kocak ga bakal langganan di sini lagi, udah bayar langganan tapi ga di aktifkan padahal udah komplain ke email nya juga, gada respon sama sekali, udah beberapa kali ngalamin ini, buat yang lain lebih baik gausah langganan di sini banyak bug juga",aplikasi kocak ga bakal langganan di sini lagi udah bayar langganan tapi ga di aktifkan padahal udah komplain ke email nya juga gada respon sama sekali udah beberapa kali ngalamin ini buat yang lain lebih baik gausah langganan di sini banyak bug juga,"['aplikasi', 'kocak', 'ga', 'bakal', 'langganan', 'di', 'sini', 'lagi', 'udah', 'bayar', 'langganan', 'tapi', 'ga', 'di', 'aktifkan', 'padahal', 'udah', 'komplain', 'ke', 'email', 'nya', 'juga', 'gada', 'respon', 'sama', 'sekali', 'udah', 'beberapa', 'kali', 'ngalamin', 'ini', 'buat', 'yang', 'lain', 'lebih', 'baik', 'gausah', 'langganan', 'di', 'sini', 'banyak', 'bug', 'juga']","['aplikasi', 'kocak', 'ga', 'langganan', 'udah', 'bayar', 'langganan', 'ga', 'aktifkan', 'udah', 'komplain', 'email', 'nya', 'gada', 'respon', 'udah', 'kali', 'ngalamin', 'gausah', 'langganan', 'bug']","['aplikasi', 'kocak', 'ga', 'langgan', 'udah', 'bayar', 'langgan', 'ga', 'aktif', 'udah', 'komplain', 'email', 'nya', 'gada', 'respon', 'udah', 'kali', 'ngalamin', 'gausah', 'langgan', 'bug']",-8,1,Negatif,aplikasi kocak ga langgan udah bayar langgan ga aktif udah komplain email nya gada respon udah kali ngalamin gausah langgan bug
"Saya sudah bayar langganan tp tidak bisa diaktivasi, sudah email cs tp tidak ada respon padahal sudah bayar sampai 2 kali ganti apk. Sangat mengecewakan!",1,2022-12-29 19:54:05,"Saya sudah bayar langganan tp tidak bisa diaktivasi, sudah email cs tp tidak ada respon padahal sudah bayar sampai 2 kali ganti apk. Sangat mengecewakan!",saya sudah bayar langganan tp tidak bisa diaktivasi sudah email cs tp tidak ada respon padahal sudah bayar sampai kali ganti apk sangat mengecewakan,"['saya', 'sudah', 'bayar', 'langganan', 'tp', 'tidak', 'bisa', 'diaktivasi', 'sudah', 'email', 'cs', 'tp', 'tidak', 'ada', 'respon', 'padahal', 'sudah', 'bayar', 'sampai', 'kali', 'ganti', 'apk', 'sangat', 'mengecewakan']","['bayar', 'langganan', 'tp', 'diaktivasi', 'email', 'cs', 'tp', 'respon', 'bayar', 'kali', 'ganti', 'apk', 'mengecewakan']","['bayar', 'langgan', 'tp', 'diaktivasi', 'email', 'cs', 'tp', 'respon', 'bayar', 'kali', 'ganti', 'apk', 'kecewa']",-5,1,Negatif,bayar langgan tp diaktivasi email cs tp respon bayar kali ganti apk kecewa
"Maaf ini masalah hp saya ato gimana, setiap mau nonton yg muncul cuma black screen ama subtitle gak ada visualnya. Mohon segera di fiks.",5,2022-12-29 18:46:23,"Maaf ini masalah hp saya ato gimana, setiap mau nonton yg muncul cuma black screen ama subtitle gak ada visualnya. Mohon segera di fiks.",maaf ini masalah hp saya ato gimana setiap mau nonton yg muncul cuma black screen ama subtitle gak ada visualnya mohon segera di fiks,"['maaf', 'ini', 'masalah', 'hp', 'saya', 'ato', 'gimana', 'setiap', 'mau', 'nonton', 'yg', 'muncul', 'cuma', 'black', 'screen', 'ama', 'subtitle', 'gak', 'ada', 'visualnya', 'mohon', 'segera', 'di', 'fiks']","['maaf', 'hp', 'ato', 'gimana', 'nonton', 'yg', 'muncul', 'black', 'screen', 'ama', 'subtitle', 'gak', 'visualnya', 'mohon', 'fiks']","['maaf', 'hp', 'ato', 'gimana', 'nonton', 'yg', 'muncul', 'black', 'screen', 'ama', 'subtitle', 'gak', 'visual', 'mohon', 'fiks']",-8,1,Negatif,maaf hp ato gimana nonton yg muncul black screen ama subtitle gak visual mohon fiks
yoks mantab yah jadi gitu deh dah,4,2022-12-29 17:50:28,yoks mantab yah jadi gitu deh dah,yoks mantab yah jadi gitu deh dah,"['yoks', 'mantab', 'yah', 'jadi', 'gitu', 'deh', 'dah']","['yoks', 'mantab', 'yah', 'gitu', 'deh', 'dah']","['yoks', 'mantab', 'yah', 'gitu', 'deh', 'dah']",-3,2,Negatif,yoks mantab yah gitu deh dah
"Beli paket Disney melalui Mytelkomsel, 2 hari blm aktif. Pulsa sdh di debet...Komplen sana sini, ga ada tanggapan....Capeeeee deeeeh",1,2022-12-29 14:58:14,"Beli paket Disney melalui Mytelkomsel, 2 hari blm aktif. Pulsa sdh di debet...Komplen sana sini, ga ada tanggapan....Capeeeee deeeeh",beli paket disney melalui mytelkomsel hari blm aktif pulsa sdh di debetkomplen sana sini ga ada tanggapancapeeeee deeeeh,"['beli', 'paket', 'disney', 'melalui', 'mytelkomsel', 'hari', 'blm', 'aktif', 'pulsa', 'sdh', 'di', 'debetkomplen', 'sana', 'sini', 'ga', 'ada', 'tanggapancapeeeee', 'deeeeh']","['beli', 'paket', 'disney', 'mytelkomsel', 'blm', 'aktif', 'pulsa', 'sdh', 'debetkomplen', 'ga', 'tanggapancapeeeee', 'deeeeh']","['beli', 'paket', 'disney', 'mytelkomsel', 'blm', 'aktif', 'pulsa', 'sdh', 'debetkomplen', 'ga', 'tanggapancapeeeee', 'deeeeh']",-5,1,Negatif,beli paket disney mytelkomsel blm aktif pulsa sdh debetkomplen ga tanggapancapeeeee deeeeh
Good,5,2022-12-29 12:53:43,Bagus,bagus,['bagus'],['bagus'],['bagus'],-4,2,Negatif,bagus
"Kenapa Disney di tv gak bisa dan tidak connect pake Wifi juga, Sedangkan pake data bisa dan d buka di hp. Please dulu bisa di putar di tv dan pake wifi Jika saya pake data boros yang ada. Ribet banget dulu mudah dan enak kenapa sekarang makin ribet",1,2022-12-29 10:46:24,"Kenapa Disney di tv gak bisa dan tidak connect pake Wifi juga, Sedangkan pake data bisa dan d buka di hp. Please dulu bisa di putar di tv dan pake wifi Jika saya pake data boros yang ada. Ribet banget dulu mudah dan enak kenapa sekarang makin ribet",kenapa disney di tv gak bisa dan tidak connect pake wifi juga sedangkan pake data bisa dan d buka di hp please dulu bisa di putar di tv dan pake wifi jika saya pake data boros yang ada ribet banget dulu mudah dan enak kenapa sekarang makin ribet,"['kenapa', 'disney', 'di', 'tv', 'gak', 'bisa', 'dan', 'tidak', 'connect', 'pake', 'wifi', 'juga', 'sedangkan', 'pake', 'data', 'bisa', 'dan', 'd', 'buka', 'di', 'hp', 'please', 'dulu', 'bisa', 'di', 'putar', 'di', 'tv', 'dan', 'pake', 'wifi', 'jika', 'saya', 'pake', 'data', 'boros', 'yang', 'ada', 'ribet', 'banget', 'dulu', 'mudah', 'dan', 'enak', 'kenapa', 'sekarang', 'makin', 'ribet']","['disney', 'tv', 'gak', 'connect', 'pake', 'wifi', 'pake', 'data', 'd', 'buka', 'hp', 'please', 'putar', 'tv', 'pake', 'wifi', 'pake', 'data', 'boros', 'ribet', 'banget', 'mudah', 'enak', 'ribet']","['disney', 'tv', 'gak', 'connect', 'pake', 'wifi', 'pake', 'data', 'd', 'buka', 'hp', 'please', 'putar', 'tv', 'pake', 'wifi', 'pake', 'data', 'boros', 'ribet', 'banget', 'mudah', 'enak', 'ribet']",-29,1,Negatif,disney tv gak connect pake wifi pake data d buka hp please putar tv pake wifi pake data boros ribet banget mudah enak ribet
"Ini kenapa sih?!! Ga bisa dibuka tulisanya ""something went wrong. Please try again"" padahal wifi saya lancar",1,2022-12-29 10:31:10,"Ini kenapa sih?!! Ga bisa dibuka tulisanya ""something went wrong. Please try again"" padahal wifi saya lancar",ini kenapa sih ga bisa dibuka tulisanya something went wrong please try again padahal wifi saya lancar,"['ini', 'kenapa', 'sih', 'ga', 'bisa', 'dibuka', 'tulisanya', 'something', 'went', 'wrong', 'please', 'try', 'again', 'padahal', 'wifi', 'saya', 'lancar']","['sih', 'ga', 'dibuka', 'tulisanya', 'something', 'went', 'wrong', 'please', 'try', 'again', 'wifi', 'lancar']","['sih', 'ga', 'buka', 'tulisanya', 'something', 'went', 'wrong', 'please', 'try', 'again', 'wifi', 'lancar']",-8,1,Negatif,sih ga buka tulisanya something went wrong please try again wifi lancar
@ windi 2008 12,5,2022-12-29 05:53:38,@ windi 2008 12,windi,['windi'],['windi'],['windi'],0,3,Netral,windi
Overral udah bagus cuma kurang lengkap tv series nya,5,2022-12-28 20:23:46,Overral udah bagus cuma kurang lengkap tv series nya,overral udah bagus cuma kurang lengkap tv series nya,"['overral', 'udah', 'bagus', 'cuma', 'kurang', 'lengkap', 'tv', 'series', 'nya']","['overral', 'udah', 'bagus', 'lengkap', 'tv', 'series', 'nya']","['overral', 'udah', 'bagus', 'lengkap', 'tv', 'series', 'nya']",-7,1,Negatif,overral udah bagus lengkap tv series nya
"Kecewa sih, bug yg meresahkan Hp ane pas nonton film tiba tiba delay dan udh Di close app hp ane ttp delay, alhasil harus di restart hpnya",3,2022-12-28 18:06:51,"Kecewa sih, bug yg meresahkan Hp ane pas nonton film tiba tiba delay dan udh Di close app hp ane ttp delay, alhasil harus di restart hpnya",kecewa sih bug yg meresahkan hp ane pas nonton film tiba tiba delay dan udh di close app hp ane ttp delay alhasil harus di restart hpnya,"['kecewa', 'sih', 'bug', 'yg', 'meresahkan', 'hp', 'ane', 'pas', 'nonton', 'film', 'tiba', 'tiba', 'delay', 'dan', 'udh', 'di', 'close', 'app', 'hp', 'ane', 'ttp', 'delay', 'alhasil', 'harus', 'di', 'restart', 'hpnya']","['kecewa', 'sih', 'bug', 'yg', 'meresahkan', 'hp', 'ane', 'pas', 'nonton', 'film', 'delay', 'udh', 'close', 'app', 'hp', 'ane', 'ttp', 'delay', 'alhasil', 'restart', 'hpnya']","['kecewa', 'sih', 'bug', 'yg', 'resah', 'hp', 'ane', 'pas', 'nonton', 'film', 'delay', 'udh', 'close', 'app', 'hp', 'ane', 'ttp', 'delay', 'alhasil', 'restart', 'hpnya']",-10,1,Negatif,kecewa sih bug yg resah hp ane pas nonton film delay udh close app hp ane ttp delay alhasil restart hpnya
Jelek banget harus membayar kalau mau download padahal bagus2 filmnya,1,2022-12-28 15:08:52,Jelek banget harus membayar kalau mau download padahal bagus2 filmnya,jelek banget harus membayar kalau mau download padahal bagus filmnya,"['jelek', 'banget', 'harus', 'membayar', 'kalau', 'mau', 'download', 'padahal', 'bagus', 'filmnya']","['jelek', 'banget', 'membayar', 'download', 'bagus', 'filmnya']","['jelek', 'banget', 'bayar', 'download', 'bagus', 'film']",-11,1,Negatif,jelek banget bayar download bagus film
Kenapa sih saya tidak bisa download aplikasi ini padahal udah beberapa kali coba tapi tidak bisa plis kurangi mbnya saya susah untuk mendownload nya plis kecilkan mb nya ya sekali lagi saya cuma mau kecilkan mb nya ya,1,2022-12-28 14:41:13,Kenapa sih saya tidak bisa download aplikasi ini padahal udah beberapa kali coba tapi tidak bisa plis kurangi mbnya saya susah untuk mendownload nya plis kecilkan mb nya ya sekali lagi saya cuma mau kecilkan mb nya ya,kenapa sih saya tidak bisa download aplikasi ini padahal udah beberapa kali coba tapi tidak bisa plis kurangi mbnya saya susah untuk mendownload nya plis kecilkan mb nya ya sekali lagi saya cuma mau kecilkan mb nya ya,"['kenapa', 'sih', 'saya', 'tidak', 'bisa', 'download', 'aplikasi', 'ini', 'padahal', 'udah', 'beberapa', 'kali', 'coba', 'tapi', 'tidak', 'bisa', 'plis', 'kurangi', 'mbnya', 'saya', 'susah', 'untuk', 'mendownload', 'nya', 'plis', 'kecilkan', 'mb', 'nya', 'ya', 'sekali', 'lagi', 'saya', 'cuma', 'mau', 'kecilkan', 'mb', 'nya', 'ya']","['sih', 'download', 'aplikasi', 'udah', 'kali', 'coba', 'plis', 'kurangi', 'mbnya', 'susah', 'mendownload', 'nya', 'plis', 'kecilkan', 'mb', 'nya', 'ya', 'kecilkan', 'mb', 'nya', 'ya']","['sih', 'download', 'aplikasi', 'udah', 'kali', 'coba', 'plis', 'kurang', 'mbnya', 'susah', 'mendownload', 'nya', 'plis', 'kecil', 'mb', 'nya', 'ya', 'kecil', 'mb', 'nya', 'ya']",-9,1,Negatif,sih download aplikasi udah kali coba plis kurang mbnya susah mendownload nya plis kecil mb nya ya kecil mb nya ya
Bagus,3,2022-12-28 14:20:13,Bagus,bagus,['bagus'],['bagus'],['bagus'],-4,2,Negatif,bagus
Setelah update malah selalu keluar sendiri kalau mau play film... Tolong diperbaiki ya... Thanks...,4,2022-12-28 12:41:17,Setelah update malah selalu keluar sendiri kalau mau play film... Tolong diperbaiki ya... Thanks...,setelah update malah selalu keluar sendiri kalau mau play film tolong diperbaiki ya thanks,"['setelah', 'update', 'malah', 'selalu', 'keluar', 'sendiri', 'kalau', 'mau', 'play', 'film', 'tolong', 'diperbaiki', 'ya', 'thanks']","['update', 'play', 'film', 'tolong', 'diperbaiki', 'ya', 'thanks']","['update', 'play', 'film', 'tolong', 'baik', 'ya', 'thanks']",4,4,Positif,update play film tolong baik ya thanks
"Tolong la kak untuk top-up nya di tambah lagi biar bisa di gunakan, bagi penguna Shopee pay atau pembayaran melalui indomaret",4,2022-12-28 09:23:27,"Tolong la kak untuk top-up nya di tambah lagi biar bisa di gunakan, bagi penguna Shopee pay atau pembayaran melalui indomaret",tolong la kak untuk topup nya di tambah lagi biar bisa di gunakan bagi penguna shopee pay atau pembayaran melalui indomaret,"['tolong', 'la', 'kak', 'untuk', 'topup', 'nya', 'di', 'tambah', 'lagi', 'biar', 'bisa', 'di', 'gunakan', 'bagi', 'penguna', 'shopee', 'pay', 'atau', 'pembayaran', 'melalui', 'indomaret']","['tolong', 'la', 'kak', 'topup', 'nya', 'biar', 'penguna', 'shopee', 'pay', 'pembayaran', 'indomaret']","['tolong', 'la', 'kak', 'topup', 'nya', 'biar', 'penguna', 'shopee', 'pay', 'bayar', 'indomaret']",-8,1,Negatif,tolong la kak topup nya biar penguna shopee pay bayar indomaret
